testCase,size,startTime,endTime,runtime
statechartTest,1900,1698100038690,1698100055526,16836
statechartTest,2000,1698100055541,1698100072825,17284
statechartTest,2100,1698100072838,1698100091110,18272
statechartTest,2200,1698100091124,1698100112610,21486
statechartTest,2200,1698100112623,1698100133159,20536
statechartTest,2200,1698100133172,1698100153216,20044
