testCase,size,startTime,endTime,runtime
statechartTest,500,1698098743452,1698098745197,1745
statechartTest,1000,1698098745214,1698098749691,4477
statechartTest,1500,1698098749705,1698098757322,7617
statechartTest,2000,1698098757336,1698098768980,11644
statechartTest,2500,1698098768994,1698098785593,16599
statechartTest,3000,1698098785608,1698098808522,22914
statechartTest,3000,1698098808537,1698098831877,23340
statechartTest,3000,1698098831891,1698098853899,22008
