testCase,size,startTime,endTime,runtime
statechartTest,2000,1698109665338,1698109684125,18787
statechartTest,2100,1698109684142,1698109703373,19231
statechartTest,2200,1698109723540,1698109741055,17515
statechartTest,2300,1698109762782,1698109781863,19081
ecoreTest,1200,1698109891680,1698109906322,14642
ecoreTest,1300,1698109906336,1698109924276,17940
ecoreTest,1400,1698109948106,1698109965516,17410
ecoreTest,1500,1698110067223,1698110086956,19733
famTest,7900,1698110232556,1698110249958,17402
famTest,8000,1698110249973,1698110267910,17937
famTest,8100,1698110267924,1698110286408,18484
famTest,8200,1698110286422,1698110304952,18530
famTest,8300,1698110304967,1698110323781,18814
famTest,8400,1698110323795,1698110343475,19680
famTest,8500,1698110343490,1698110363440,19950
famTest,8600,1698110363455,1698110383218,19763
famTest,8700,1698110423881,1698110443819,19938
filesystemTest,10000,1698110547133,1698110565298,18165
filesystemTest,10100,1698110565312,1698110584234,18922
filesystemTest,10200,1698110584248,1698110602078,17830
filesystemTest,10300,1698110602094,1698110621183,19089
filesystemTest,10400,1698110621197,1698110640907,19710
filesystemTest,10500,1698110640922,1698110659414,18492
socialNetworkTest,160,1698110763356,1698110774871,11515
socialNetworkTest,170,1698110774887,1698110789371,14484
socialNetworkTest,180,1698110789386,1698110808251,18865
socialNetworkTest,190,1698110835479,1698110855402,19923
