testCase,size,startTime,endTime,runtime
ecoreTest,500,1698106737576,1698106739357,1781
ecoreTest,1000,1698106739373,1698106748158,8785
ecoreTest,1500,1698106748173,1698106774335,26162
ecoreTest,1500,1698106774350,1698106800500,26150
ecoreTest,1500,1698106800515,1698106825702,25187
